ets_gene,buf_gene,r,r_with_bat,delta_r
Ndufa10,Prdx5,0.5506359761047015,0.8069238714610282,-0.2562878953563267
Atp5mc1,Txn2,0.5472744155695191,-0.2595983610989026,0.8068727766684216
Ndufa10,Txnrd2,0.540498187415146,0.7532674989530193,-0.21276931153787326
Atp5mc1,Gss,0.537790013332868,-0.11556769114434484,0.6533577044772129
Ndufa9,Gsr,0.5340578794834795,0.7364610842747089,-0.20240320479122942
Cox5a,Gsr,0.5299383641460825,0.7246761881531448,-0.1947378240070623
Ndufs7,Prdx3,0.5251362195994285,0.7632521449011489,-0.23811592530172043
Ndufs7,Gclm,0.5214368141271314,0.47737727741504454,0.044059536712086844
Atp5mc1,Prdx3,0.5086296229940298,-0.3577374874639433,0.8663671104579731
Ndufv1,Nnt,0.4970857595132964,-0.7911235547872941,1.2882093143005906
Atp5mc1,Gclm,0.4951410718672257,0.01048925577050019,0.48465181609672553
Uqcrfs1,Gsr,0.49355598295651326,0.7175697240878399,-0.22401374113132666
Ndufs7,Glrx2,0.4847284295826038,0.6964018076325872,-0.21167337804998337
Ndufs7,Gsr,0.4594585697774993,0.7019736924278511,-0.2425151226503518
Cox7a2,Gss,0.45185252993356334,0.5891818781494365,-0.13732934821587311
Cycs,Txnrd2,0.45080412773075346,0.6792951111347876,-0.22849098340403412
Atp5mc1,Prdx5,0.4398559373162725,-0.4667820554680029,0.9066379927842754
Cyc1,Gss,0.4374700546486996,0.5634522656548363,-0.1259822110061367
Atp5f1a,Nnt,0.4292626269647306,-0.8091272812048221,1.2383899081695526
Cyc1,Gsr,0.42669801529561674,0.6896787428988932,-0.26298072760327645
Ndufv2,Gss,0.4254367596677462,0.5527400449593928,-0.12730328529164658
Uqcrc1,Gsr,0.4219032605660017,0.688350095256453,-0.2664468346904513
Cox5a,Gss,0.41924500875145526,0.5725248663082654,-0.15327985755681012
Uqcrb,Gsr,0.41408823269314576,0.6765169476519916,-0.2624287149588458
Ndufs8,Nnt,0.41351167637612823,-0.836481413053652,1.2499930894297802
Cox6a1,Gss,0.4119718203992533,0.561994506066541,-0.15002268566728771
Ndufv2,Gsr,0.4071826467729591,0.6814749919340936,-0.27429234516113443
Atp5f1d,Prdx5,0.40392323106199784,0.7660198858209097,-0.3620966547589119
Uqcrc1,Gss,0.4023302917266572,0.5558096411612493,-0.15347934943459213
Ndufa10,Gsr,0.3989995576173773,0.6661699520040375,-0.2671703943866602
Ndufa10,Gss,0.39692888411327565,0.5153175904146025,-0.11838870630132681
Cox4i1,Gss,0.39357224655956574,0.5396549573436884,-0.14608271078412266
Ndufs8,Gpx1,0.392197857228794,-0.02114086273263483,0.41333871996142885
Cox5b,Gsr,0.38879397065872273,0.6533785148455399,-0.26458454418681715
Ndufs7,Sod2,0.38420116983052865,0.7744767526834955,-0.3902755828529668
Atp5po,Gss,0.37235961844413423,0.5404368303167506,-0.16807721187261637
Uqcrb,Gss,0.36685864209933433,0.5435278323311651,-0.17666919023183075
Ndufa9,Gss,0.35902225558966683,0.5386756581338249,-0.17965340254415807
Atp5mc1,Glrx2,0.35874132646698353,-0.342670401792387,0.7014117282593706
Cox6a1,Gsr,0.3553238860419947,0.6037968246697833,-0.24847293862778863
Ndufs8,Gss,0.3507776329198733,0.49269358788205025,-0.14191595496217696
Cox5b,Gss,0.3493336999924814,0.5310939308187886,-0.18176023082630727
Atp5pb,Gsr,0.3456585122290507,0.6073377444663834,-0.26167923223733275
Atp5f1b,Gsr,0.34537163396614906,0.5713611397620922,-0.22598950579594318
Cox7a2,Gsr,0.3418740459623137,0.6448975394889667,-0.303023493526653
Cox4i1,Gsr,0.34098929511259535,0.5709596564627378,-0.22997036135014248
Ndufb8,Gsr,0.3406638964908292,0.6069714826735837,-0.2663075861827545
Uqcrfs1,Gss,0.33795635534977636,0.5264070099375,-0.18845065458772364
